Chest,Abdominals,Shoulders,Biceps,Triceps, Back,Calves,Forearms,Deadlift,Squat,Reps
Bench Press,Barbell Trunk Rotation,Barbell Upright Row,Barbell Biceps Curl - Standing,Barbell Triceps Extension - Incline,Barbell Row - Bent-Over; Wide-Grip,Barbell Squat,Barbell Wrist Curl,Sumo,Back,5x10-12
Bench Press - Close-Grip,Barbell Side Bend,Military Press - Seated,Barbell Biceps Curl - Standing; Close-Grip,Barbell Triceps Extension - Standing,Barbell Row - Bent-Over; Wide-Grip; Head Supported,Barbell Half Squat,Barbell Wrist Curl - Standing; Behind Back,Conventional,Wide Stance,4x10-13
Bench Press - Wide-Grip,Barbell Exercises for the Chest,Military Press - Standing,Barbell Biceps Curl - Standing; Close-Grip; Against Wall,Barbell Triceps Extension - Seated,Barbell Row - Prone; Wide-Grip,Barbell Half Squat - Wide-Stance,Barbell Wrist Extension,Squat Stance,Narrow Stance,4x12-14
Bench Press - Incline,Plank,Military Press - Standing; Behind Neck,Barbell Biceps Curl - Standing; Close-Grip; Concentrated,Barbell Triceps Extension - Lying; to Forehead,Barbell Good Morning,Barbell Front Squat - Heels-Elevated,,,Box Squat,3x10-15
Bench Press - Incline; Wide-Grip,Leg raises,Barbell Front Deltoid Raise - to Vertical,Barbell Biceps Curl - Prone,Barbell Triceps Extension - Lying; to Chin,Barbell Good Morning - Wide-Grip,Barbell Front Squat - to Bench; Heels-Elevated,,,Front Squat,3x10-16
Bench Press - Decline,,Barbell Rear Deltoid Raise - Prone,Barbell Biceps Curl - Prone; Close-Grip,Barbell Triceps Extension - Lying; Kick-Back,Barbell Deadlift,Barbell Front Half Squat - Wide-Stance,,,Back,5x10-17
Bench Press - Decline; Wide-Grip,,Barbell Push Press,,Barbell Reverse Bench Press,Barbell Deadlift - Stiff-Legged,Barbell Hack Squat - Wide-Stance,,,Back,5x10-18
Bench Press - Decline; to Neck,,,,,High Pull,Barbell Hack Squat - Heels-Elevated,,,,
Barbell Pullover - Bent-Arm,,,,,High Pull - Wide-Grip,Barbell Front Lunge,,,,
Barbell Pullover - Straight-Arm,,,,,Power Clean and Press,Barbell Front Lunge - Foot on Side,,,,
Barbell Pullover - Straight-Arm; Across Bench; Close-Grip,,,,,Barbell Shrug,Barbell Step-Up,,,,
,,,,,,Barbell Calf Raise - Seated,,,,
,,,,,,Barbell Calf Raise - Standing,,,,
,,,,,,Barbell Exercises for the Forearms,,,,
